prov,codmunicipio,ambito,censo_2005,votantes_2005,nulos_2005,vlidos_2005,blancos_2005,votoscand_2005,abstenciones_2005,pp_2005,ual_2005,eb_2005,pse_2005,eajpnv_2005,aralar_2005,berdeakpacma_2005,pctvehak_2005,share_pp_2005,share_pse_2005,share_eajpnv_2005,share_eb_2005,share_aralar_2005,share_ual_2005,share_berdeakpacma_2005,share_pctvehak_2005,id
01,059,VITORIA-GASTEIZ,183324,126491,471,126020,1008,125012,56833,35218,3180,6669,35896,32451,1744,698,8693,.27946359,.28484368,.25750676,.05292017,.013839073,.02523409,.0055388035,.068981111,01059
01,001,ALEGRÍA-DULANTZI,1583,1120,3,1117,6,1111,463,177,15,67,253,451,26,2,117,.15846016,.22649956,.40376008,.059982095,.023276635,.013428827,.0017905103,.10474485,01001
01,003,ARAMAIO,1239,980,5,975,1,974,259,16,2,62,26,561,58,0,249,.016410256,.026666667,.57538462,.063589744,.059487179,.002051282,0,.25538462,01003
01,006,ARMIÑÓN,144,107,0,107,0,107,37,44,7,3,23,22,0,0,8,.41121495,.21495327,.20560747,.028037382,0,.065420561,0,.074766353,01006
01,008,ARRAZUA-UBARRUNDIA,688,521,3,518,7,511,167,121,11,22,85,217,10,2,41,.23359074,.16409266,.41891891,.042471044,.019305019,.021235522,.0038610038,.07915058,01008
01,009,ASPARRENA,1334,880,7,873,3,870,454,81,10,53,83,386,46,1,208,.092783503,.095074452,.44215348,.060710195,.052691866,.011454754,.0011454754,.23825888,01009
01,011,BAÑOS DE EBRO / MAÑUETA,271,223,1,222,3,219,48,91,7,3,23,88,0,0,7,.4099099,.1036036,.3963964,.013513514,0,.031531531,0,.031531531,01011
01,013,BARRUNDIA,647,468,0,468,4,464,179,69,9,29,54,213,12,3,74,.1474359,.11538462,.45512819,.061965812,.025641026,.01923077,.0064102565,.15811966,01013
01,014,BERANTEVILLA,406,298,1,297,3,294,108,99,7,9,32,125,7,0,15,.33333334,.10774411,.42087543,.030303031,.023569023,.023569023,0,.05050505,01014
01,016,BERNEDO,499,311,1,310,2,308,188,100,5,14,31,115,6,0,36,.32258064,.1,.37096775,.045161292,.019354839,.016129032,0,.11612903,01016
01,017,CAMPEZO / KANPEZU,913,664,2,662,3,659,249,163,6,33,70,296,5,0,84,.24622357,.10574018,.44712991,.049848944,.0075528701,.0090634441,0,.12688822,01017
01,018,ZIGOITIA,1143,830,3,827,15,812,313,101,13,33,128,353,21,1,162,.12212817,.1547763,.426844,.039903264,.025392987,.015719468,.0012091899,.19588876,01018
01,019,KRIPAN,158,139,0,139,1,138,19,29,2,1,3,98,0,1,4,.2086331,.021582734,.70503598,.0071942448,0,.01438849,.0071942448,.028776979,01019
01,020,KUARTANGO,326,239,1,238,0,238,87,26,3,6,18,138,6,1,40,.1092437,.075630255,.57983196,.025210084,.025210084,.012605042,.0042016809,.16806723,01020
01,021,ELBURGO / BURGELU,371,266,1,265,1,264,105,70,3,12,39,115,2,1,20,.26415095,.14716981,.43396226,.04528302,.0075471699,.011320755,.003773585,.075471699,01021
01,022,ELCIEGO,816,619,9,610,4,606,197,211,15,24,175,158,2,1,20,.34590164,.28688523,.25901639,.039344262,.0032786885,.024590164,.0016393443,.032786883,01022
01,023,ELVILLAR / BILAR,306,228,1,227,1,226,78,91,2,7,18,93,2,0,12,.40088105,.079295151,.40969163,.030837005,.0088105723,.0088105723,0,.052863438,01023
01,027,IRURAIZ-GAUNA,405,285,4,281,1,280,120,58,7,9,23,125,2,3,53,.2064057,.081850536,.44483986,.03202847,.0071174377,.024911031,.010676157,.1886121,01027
01,028,LABASTIDA / BASTIDA,1097,790,0,790,8,782,307,269,14,45,147,234,8,3,61,.34050632,.18607596,.29620254,.056962024,.010126582,.017721519,.0037974683,.077215187,01028
01,030,LAGRÁN,179,137,0,137,1,136,42,54,8,2,19,44,6,2,1,.3941606,.13868614,.32116789,.01459854,.043795619,.05839416,.01459854,.00729927,01030
01,031,LAGUARDIA,1224,955,9,946,12,934,269,423,13,8,123,321,8,0,36,.44714588,.13002114,.33932346,.0084566595,.0084566595,.013742072,0,.038054969,01031
01,032,LANCIEGO / LANTZIEGO,543,406,7,399,4,395,137,109,12,9,86,159,2,2,14,.27318296,.21553884,.39849624,.022556391,.0050125313,.030075189,.0050125313,.03508772,01032
01,033,LAPUEBLA DE LABARCA,702,549,0,549,1,548,153,136,5,10,86,297,8,0,6,.24772313,.15664846,.54098362,.018214935,.014571949,.0091074677,0,.010928961,01033
01,034,LEZA,182,149,0,149,2,147,33,18,0,5,25,85,0,2,10,.12080537,.16778524,.5704698,.033557046,0,0,.013422819,.067114092,01034
01,037,ARRAIA-MAEZTU,631,449,8,441,1,440,182,108,10,16,61,192,9,3,40,.24489796,.138322,.43537414,.03628118,.020408163,.022675738,.0068027209,.090702951,01037
01,039,MOREDA DE ÁLAVA,236,186,0,186,0,186,50,52,1,8,58,64,0,1,2,.27956989,.31182796,.34408602,.043010753,0,.0053763441,.0053763441,.010752688,01039
01,041,NAVARIDAS,168,135,0,135,2,133,33,66,3,2,11,50,0,1,0,.48888889,.081481479,.37037036,.014814815,0,.022222223,.0074074073,0,01041
01,043,OYÓN-OION,2257,1476,5,1471,4,1467,781,507,22,51,360,372,11,9,134,.3446635,.24473147,.25288919,.034670293,.0074779061,.014955812,.0061182869,.091094494,01043
01,044,PEÑACERRADA-URIZAHARRA,230,168,3,165,0,165,62,49,5,10,22,61,3,1,13,.29696971,.13333334,.36969697,.060606062,.018181818,.030303031,.0060606059,.078787878,01044
01,046,RIBERA ALTA,515,374,1,373,1,372,141,127,4,6,42,147,7,1,35,.34048256,.11260054,.39410189,.01608579,.018766755,.010723861,.0026809652,.093833782,01046
01,047,RIBERA BAJA / ERRIBERA BEITIA,808,566,5,561,7,554,242,199,11,18,151,150,3,3,14,.35472372,.26916221,.26737967,.03208556,.0053475937,.019607844,.0053475937,.024955437,01047
01,049,AÑANA,170,142,1,141,0,141,28,37,1,0,25,64,1,0,13,.26241136,.17730497,.45390069,0,.0070921984,.0070921984,0,.092198581,01049
01,051,SALVATIERRA / AGURAIN,3359,2216,6,2210,5,2205,1143,289,38,97,347,960,46,6,417,.13076924,.15701358,.43438914,.043891404,.02081448,.017194571,.0027149322,.18868779,01051
