prov,codmunicipio,ambito,censo_20,votantes_20,nulos_20,vlidos_20,blancos_20,votoscand_20,abstenciones_20,eajpnv_20,pp_20,ea_20,ebb_20,pseeepsoe_20,berdeaklv_20,aralar_20,upd_20,share_pse_20,share_ea_20,share_eajpnv_20,share_ebb_20,share_upd_20,share_berdeaklv_20,share_aralar_20,share_pp_20,id
01,059,VITORIA-GASTEIZ,182127,118594,5259,113335,1371,111964,63533,28295,25889,3387,3915,38778,995,4536,5358,.34215379,.029884854,.24965809,.034543611,.047275774,.0087792827,.040022939,.22842899,01059
01,001,ALEGRÍA-DULANTZI,1894,1311,66,1245,14,1231,583,421,168,94,48,379,10,66,36,.30441767,.075502008,.33815262,.038554218,.028915662,.0080321282,.053012047,.13493976,01001
01,003,ARAMAIO,1224,845,189,656,2,654,379,351,6,114,18,39,0,120,4,.059451219,.17378049,.535061,.027439024,.0060975607,0,.18292683,.0091463411,01003
01,006,ARMIÑÓN,179,116,3,113,2,111,63,19,43,6,5,30,1,1,5,.26548672,.053097345,.16814159,.044247787,.044247787,.0088495575,.0088495575,.38053098,01006
01,008,ARRAZUA-UBARRUNDIA,747,496,33,463,4,459,251,207,85,17,18,89,2,23,17,.19222462,.036717061,.44708425,.038876891,.036717061,.0043196543,.049676027,.18358532,01008
01,009,ASPARRENA,1303,838,132,706,7,699,465,337,60,58,21,108,4,103,4,.1529745,.082152978,.47733712,.029745042,.0056657223,.0056657223,.14589235,.084985837,01009
01,011,BAÑOS DE EBRO / MAÑUETA,252,197,2,195,8,187,55,83,65,6,3,27,1,1,0,.13846155,.030769231,.42564103,.015384615,0,.0051282053,.0051282053,.33333334,01011
01,013,BARRUNDIA,683,428,61,367,1,366,255,167,45,17,17,59,6,47,8,.16076294,.046321526,.45504087,.046321526,.021798365,.016348774,.12806539,.12261581,01013
01,014,BERANTEVILLA,394,279,5,274,7,267,115,94,83,3,9,57,4,9,8,.2080292,.010948905,.34306568,.032846715,.02919708,.01459854,.032846715,.30291972,01014
01,016,BERNEDO,481,267,19,248,6,242,214,103,58,9,2,49,2,12,6,.19758065,.036290321,.41532257,.0080645159,.024193548,.0080645159,.048387095,.23387097,01016
01,017,CAMPEZO / KANPEZU,913,569,66,503,1,502,344,231,109,26,20,84,2,17,12,.16699801,.051689859,.45924452,.039761432,.02385686,.003976143,.033797216,.21669979,01017
01,018,ZIGOITIA,1325,893,120,773,9,764,432,327,92,65,25,170,3,53,29,.21992238,.084087968,.42302716,.032341525,.037516169,.0038809832,.068564035,.11901682,01018
01,019,KRIPAN,157,128,3,125,0,125,29,94,21,0,1,7,0,2,0,.056000002,0,.75199997,.0080000004,0,0,.016000001,.168,01019
