prov,codmunicipio,ambito,censo,votantes,nulos_2012,vlidos_2012,blancos_2012,votoscand_2012,abstenciones_2012,eajpnv_2012,pp_2012,ebb_2012,pseeepsoe_2012,pacmaattka_2012,upyd_2012,equo_2012,iulv_2012,ebaz_2012,ehbildu_2012,id,share_pp_2012,share_pse_2012,share_eajpnv_2012,share_ebb_2012,share_upyd_2012,share_iulv_2012,share_ebaz_2012,share_equo_2012,share_ehbildu_2012
01,059,VITORIA-GASTEIZ,183640,117592,1764,115828,1734,114094,66048,25797,23921,1867,24756,534,4665,3696,3702,1885,22263,01059,.20652173,.21373071,.22271816,.016118728,.040275235,.031961184,.01627413,.031909384,.19220741
01,001,ALEGRÍA-DULANTZI,2016,1266,20,1246,33,1213,750,362,147,27,206,3,42,44,39,28,307,01001,.11797753,.16532905,.2905297,.021669341,.033707865,.031300161,.02247191,.035313003,.24638845
01,003,ARAMAIO,1199,889,3,886,4,882,310,270,8,13,26,1,3,7,8,5,539,01003,.0090293456,.029345373,.3047404,.014672686,.0033860046,.0090293456,.0056433408,.0079006776,.60835212
01,006,ARMIÑÓN,182,120,1,119,4,115,62,27,28,0,19,1,8,0,4,1,26,01006,.23529412,.15966387,.22689076,0,.067226894,.033613447,.0084033618,0,.2184874
01,008,ARRAZUA-UBARRUNDIA,789,532,1,531,7,524,257,178,85,13,67,4,16,10,6,7,136,01008,.16007534,.12617703,.33521658,.024482109,.030131826,.011299435,.013182675,.018832391,.25612053
01,009,ASPARRENA,1296,873,9,864,4,860,423,293,51,11,74,5,10,8,22,9,373,01009,.059027776,.085648149,.33912036,.012731481,.011574074,.025462963,.010416667,.0092592593,.43171296
01,011,BAÑOS DE EBRO / MAÑUETA,242,163,6,157,7,150,79,54,62,0,18,0,2,2,1,0,11,01011,.39490446,.11464968,.34394905,0,.012738854,.0063694268,0,.012738854,.070063695
01,013,BARRUNDIA,710,470,1,469,6,463,240,150,50,6,34,2,8,16,5,3,181,01013,.10660981,.072494671,.31982943,.012793177,.01705757,.010660981,.0063965884,.034115139,.3859275
01,014,BERANTEVILLA,383,272,6,266,4,262,111,80,72,5,39,0,13,5,6,2,39,01014,.2706767,.14661655,.30075186,.018796992,.04887218,.022556391,.0075187972,.018796992,.14661655
01,016,BERNEDO,455,245,11,234,6,228,210,88,44,0,15,0,9,1,5,2,63,01016,.18803419,.064102568,.37606838,0,.03846154,.021367522,.008547009,.0042735045,.26923078
